PU-Code,PU-Name,Ward,Latitude,Longitude,APC_outlier,LP_outlier,PDP_outlier,NNPP_outlier,Neighbors
03-16-07-010,"VILLAGE SQUARE, ATAKPA",EAST ITAM V,5.18142,7.986535,42.5,33.16666667,54.5,6.5,"['03-16-07-001', '03-16-07-003', '03-16-07-004', '03-16-07-006', '03-16-07-007', '03-16-07-008']"
03-16-08-001,"VILLAGE SQUARE, IKOT EKANG",WEST ITAM 1,5.050281,7.9149628,8.111111111,8.555555556,27.55555556,2.666666667,"['03-16-08-002', '03-16-08-006', '03-31-11-002', nan, nan, nan, nan, nan, nan]"
03-16-08-002,"TOWN HALL, IKOT MBONDE",WEST ITAM 1,5.052912,7.9155976,3.666666667,135.2222222,22.66666667,0.444444444,"['03-16-08-001', '03-16-08-006', '03-31-11-002', nan, nan, nan, nan, nan, nan]"
03-16-08-003,"VILLAGE SQUARE, IKOT EKWERE",WEST ITAM 1,5.061007,7.9075423,23,40,33.6,5.2,"['03-16-08-004', '03-16-08-005', nan, nan, nan]"
03-16-08-004,"VILLAGE SQUARE, NWUT USIONG",WEST ITAM 1,5.061007,7.9075423,20.6,67.6,8.4,2.8,"['03-16-08-003', '03-16-08-005', nan, nan, nan]"
03-16-08-005,"VILLAGE SQUARE, IKOT EKPUK",WEST ITAM 1,5.061007,7.9075423,5.8,23.2,1.2,3.2,"['03-16-08-003', '03-16-08-004', nan, nan, nan]"
03-16-08-006,"VILLAGE SQUARE, IKOT EMIEN",WEST ITAM 1,5.047255,7.9089636,65,34.42857143,17.85714286,5.285714286,"['03-16-08-001', '03-16-08-002', '03-16-08-007', '03-31-11-002', '03-31-11-011', '03-31-11-012', nan]"
03-16-08-007,"VILLAGE SQUARE, AFAHA UBE",WEST ITAM 1,5.047532,7.903886,21.66666667,81.66666667,0.333333333,3,"['03-16-08-006', '03-31-11-011', nan]"
03-16-09-001,"VILLAGE SQUARE, MBIRIBIT",WEST ITAM 11,5.048338,7.8884881,6.333333333,14.16666667,20.5,5.5,"['03-16-09-002', '03-16-09-003', '03-16-09-004', '03-16-09-005', '03-16-09-006', '03-31-02-005']"
03-16-09-002,"TOWN HALL, IKOT OBIO ENANG",WEST ITAM 11,5.048338,7.8884881,4,59.66666667,15.83333333,0.333333333,"['03-16-09-001', '03-16-09-003', '03-16-09-004', '03-16-09-005', '03-16-09-006', '03-31-02-005']"
